,m,mis_fraction,time elapsed RF,time elapsed BR
0,5,0.05,25.228622200000245,1.0557633999997051
1,5,0.1,43.22210029999951,1.0673593999999866
2,5,0.2,60.5242374999998,1.0898207999998704
3,5,0.35,60.433372299999974,1.1539032999990013
4,5,0.5,60.18169089999901,1.1569818000007217
5,10,0.05,42.43068889999995,2.4568589000009524
6,10,0.1,85.44209589999991,2.1431847999992897
7,10,0.2,115.33282080000026,2.1834756000007474
8,10,0.35,121.70441440000104,2.2723383999982616
9,10,0.5,120.24217229999886,2.4026653000000806
10,15,0.05,62.90418859999954,3.1292721000008896
11,15,0.1,132.5450105,3.159187799999927
12,15,0.2,160.77317690000018,3.221916999998939
13,15,0.35,180.70879389999936,3.350168200000553
14,15,0.5,180.18703480000113,3.327629999999772
15,20,0.05,91.71795609999936,4.183295400000134
16,20,0.1,163.66560489999938,4.298170500000197
17,20,0.2,223.05142650000016,8.388141699999323
18,20,0.35,245.3143268999993,4.5050014999997074
19,20,0.5,243.91516690000026,4.52566189999925
