,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,Q43A,Q44A,Q45A,Q46A,Q47A,Q48A,Q49A,Q50A,Q51A,Q52A,Q53A,Q54A,Q55A,Q56A,T1A,T2A,T3A,T4A,T5A,T6A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,drug1,drug2,drug3,drug4,drug5,drug6,drug7,drug8,drug9
1040,4,4,4,4,1,4,4,4,2,4,4,4,4,4,1,3,1,1,1,3,1,3,3,2,1,2,1,3,3,3,2,4,4,4,3,4,4,2,2,4,3,4,1,1,1,4,2,1,4,1,4,1,4,3,3,1,1,2,2,2,1,1,1,7,7,4,7,6,1,3,4,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,2,3,1,1,19,1,1,1,6,2,1,2,2,0,0,2,0,0,2,0,0
1041,2,3,2,4,2,3,2,3,2,2,2,3,1,4,3,3,2,2,3,2,2,2,3,3,2,3,2,1,3,1,3,2,3,1,3,1,1,2,1,1,2,1,3,4,4,4,3,4,4,3,4,3,3,4,4,3,2,1,2,1,2,2,2,1,2,6,6,7,6,7,3,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,2,2,2,1,23,1,1,3,6,1,1,2,1,0,0,0,0,0,2,0,0
1042,2,1,3,2,1,1,2,1,1,1,2,1,1,2,2,2,3,1,3,3,2,2,4,4,3,3,2,2,2,2,4,3,2,1,2,1,1,3,2,2,3,2,4,2,2,4,2,3,4,4,4,4,3,3,4,4,2,1,2,1,2,2,1,5,1,7,3,7,5,6,2,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,2,1,1,59,2,1,1,6,1,2,4,2,0,0,3,0,0,2,0,0
1043,4,3,2,3,2,4,3,2,2,2,2,3,2,3,1,3,3,1,2,2,3,2,3,4,3,4,3,2,2,1,3,3,3,3,3,2,2,1,2,2,2,3,3,3,2,4,3,3,4,3,4,4,4,3,4,3,2,2,2,1,2,2,3,1,1,5,6,3,5,7,5,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,4,2,2,2,26,1,2,2,6,1,1,3,0,0,0,0,0,0,0,0,0
1044,2,2,3,3,2,2,2,2,2,2,3,2,1,3,3,3,3,4,3,3,2,3,2,3,3,3,3,3,2,2,2,3,2,1,4,3,2,1,2,2,3,4,2,3,3,4,4,3,4,3,4,4,3,2,3,2,2,2,1,1,2,2,2,1,6,7,5,7,6,3,1,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,2,1,18,1,1,1,6,2,1,2,2,0,0,0,0,0,3,2,0
1045,3,3,4,2,3,2,2,2,1,3,4,3,3,3,3,2,3,2,3,2,1,3,2,4,3,2,2,3,3,4,3,4,3,4,4,4,3,4,3,2,3,3,2,3,2,2,2,1,3,3,2,1,3,1,2,2,2,1,1,2,2,1,4,7,7,2,5,6,6,2,7,5,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,1,1,2,32,1,1,1,6,1,1,3,1,1,0,0,0,0,1,0,0
1046,3,3,3,2,3,3,2,2,1,3,2,3,2,3,3,2,2,3,3,2,2,3,3,3,3,4,3,3,2,2,3,1,3,3,3,2,3,2,2,2,3,1,3,4,3,2,2,3,4,3,2,2,3,3,3,3,2,1,2,1,2,2,5,5,3,6,5,6,6,6,3,5,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,3,1,1,1,33,2,1,3,6,2,1,2,2,2,0,0,0,0,2,0,0
1047,3,3,3,4,2,4,2,3,3,3,1,3,2,3,3,4,3,4,3,3,2,4,3,3,3,4,3,3,3,3,2,3,2,2,4,3,4,1,3,3,3,3,4,4,3,3,2,3,3,4,3,3,3,3,4,4,2,1,2,1,1,1,5,6,6,5,4,4,6,2,3,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,2,25,1,1,1,6,2,1,2,0,0,0,0,0,0,0,0,0
1048,4,3,4,4,3,4,4,3,3,4,3,4,2,4,1,1,1,4,1,2,1,4,3,1,1,1,1,4,1,4,2,3,4,1,4,3,4,2,1,2,4,3,3,4,3,4,4,4,4,2,3,4,4,4,4,3,1,1,1,2,2,1,5,5,5,1,7,3,6,6,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,2,2,19,1,12,2,7,1,1,1,1,0,0,0,0,0,2,0,0
1049,3,4,3,3,4,4,4,3,4,3,3,4,3,4,2,4,3,3,3,3,2,3,3,3,2,3,2,2,3,3,3,4,4,3,4,4,3,3,4,3,3,2,3,3,2,3,3,4,2,3,4,3,4,4,4,3,1,1,2,2,2,2,5,5,7,6,7,5,7,5,3,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,4,1,2,1,31,1,1,2,6,1,2,3,2,0,0,0,0,0,4,3,0
1050,1,2,1,1,4,2,1,1,1,1,1,3,1,1,4,3,2,1,2,1,1,3,1,4,3,2,2,1,1,1,1,4,3,3,1,4,3,2,1,4,4,4,1,3,4,4,4,4,4,4,4,4,3,3,3,4,2,2,2,2,1,1,1,4,1,7,1,7,4,1,4,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,1,37,1,7,4,6,2,3,4,3,4,0,4,0,0,2,1,0
1051,2,2,4,2,3,1,3,3,3,3,2,3,2,2,3,3,3,3,3,2,2,1,3,4,3,3,3,2,2,3,3,4,3,2,3,2,2,2,1,2,3,1,4,4,2,4,3,4,3,4,4,4,4,4,3,4,2,1,2,1,1,1,5,5,6,3,5,2,7,1,4,5,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,2,1,40,1,6,1,6,2,3,3,2,2,0,2,3,0,2,0,0
1052,3,3,2,3,2,2,2,2,3,3,2,3,2,3,3,2,3,3,2,4,3,2,3,3,2,2,3,3,3,3,4,3,4,3,3,3,4,3,4,3,3,3,1,2,1,2,2,1,2,2,2,2,3,2,3,1,2,2,1,1,1,1,3,5,6,4,5,4,2,2,6,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,1,24,1,7,1,6,2,2,4,3,0,0,2,0,0,4,1,0
1053,1,2,3,4,3,3,2,2,3,3,1,3,2,4,3,4,2,4,3,3,1,3,2,3,3,1,1,2,2,1,3,2,2,3,2,2,1,4,4,4,4,2,4,4,2,1,3,2,4,3,1,3,4,4,4,3,2,1,2,1,2,2,2,1,6,7,6,5,5,3,4,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,2,2,1,36,1,3,4,6,1,3,2,1,2,0,3,1,1,3,4,0
1054,1,3,2,4,2,2,4,4,3,3,3,4,2,4,3,4,2,4,3,4,1,4,4,3,2,2,1,3,3,3,4,4,3,2,4,3,4,1,3,2,3,4,4,4,1,3,2,3,4,4,3,4,3,2,2,4,1,1,2,1,1,2,5,4,7,7,6,4,7,3,4,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,1,22,1,2,2,6,1,1,2,2,0,0,0,0,0,2,1,0
1055,3,4,4,4,3,4,4,4,3,3,2,4,2,4,3,2,2,2,3,3,1,3,2,1,2,2,2,2,3,3,2,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,4,2,3,2,4,4,3,2,1,1,1,2,2,1,5,3,5,2,7,3,4,4,4,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,4,2,2,1,51,1,2,1,6,1,1,6,3,2,0,2,0,0,2,1,0
1056,4,4,3,4,2,4,4,3,4,4,3,4,4,4,2,4,3,4,4,2,1,1,2,3,3,3,3,1,1,1,1,2,4,1,2,4,2,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,4,2,1,7,6,5,7,7,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,3,2,2,1,23,2,6,5,6,1,1,2,3,0,0,2,0,0,3,2,0
1057,3,2,3,3,2,4,2,2,2,2,1,3,1,3,1,3,2,2,2,2,1,2,3,4,1,3,1,2,2,2,3,2,3,2,4,2,2,3,2,2,2,1,4,4,4,3,3,4,4,4,3,3,4,3,3,4,2,1,2,2,2,2,1,7,3,2,6,7,7,5,5,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,4,0,2,1,60,1,1,0,0,1,3,3,1,2,1,1,1,1,2,0,0
1058,3,4,4,4,3,4,4,4,2,4,4,3,4,4,3,3,3,1,3,2,3,4,3,3,3,3,3,3,3,3,3,2,3,2,4,2,2,3,2,4,4,3,4,4,3,4,4,3,4,4,4,4,3,3,3,4,1,1,2,2,2,2,5,5,6,6,7,5,7,7,2,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,3,3,2,1,23,1,7,3,6,1,1,3,0,0,0,0,0,0,3,0,0
1059,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,4,2,3,2,2,2,3,2,4,2,4,2,3,2,3,2,2,3,2,2,2,3,1,2,2,2,2,4,4,3,4,3,4,3,4,4,4,3,3,4,4,2,2,2,2,2,2,4,3,5,6,7,3,5,2,4,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,19,1,1,1,6,2,1,2,2,0,0,0,0,0,2,0,0
1060,1,3,4,4,1,3,4,2,2,2,2,3,1,4,4,3,3,3,4,2,4,1,3,4,4,4,2,3,4,3,4,4,1,4,1,3,1,3,4,2,4,2,4,4,2,1,4,1,4,4,4,4,2,1,4,4,2,1,2,1,2,2,2,6,3,7,5,3,6,6,1,3,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,27,2,7,1,6,2,2,3,3,0,0,3,0,0,0,0,0
1061,3,2,3,2,3,4,3,2,3,4,4,3,3,3,3,3,4,3,4,2,3,3,3,4,3,4,4,3,2,3,3,4,3,3,4,4,3,3,4,3,3,4,3,3,1,2,1,2,2,2,2,2,4,1,3,2,1,2,1,2,1,1,6,7,7,2,6,5,5,4,6,2,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,3,1,2,30,1,6,1,6,1,2,2,1,0,0,0,0,0,2,0,2
1062,3,3,4,3,2,3,3,4,3,3,3,4,3,3,2,3,3,2,3,2,1,2,2,3,2,2,2,3,2,3,2,2,4,3,3,3,4,2,2,3,4,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,1,1,2,2,2,2,6,5,4,6,7,2,6,6,3,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,2,1,35,1,4,1,6,2,2,3,2,0,0,0,0,4,2,1,0
1063,3,3,3,3,3,2,3,2,3,3,2,2,3,3,2,3,3,3,2,2,2,3,2,4,2,2,2,3,3,3,2,3,3,2,3,3,3,1,2,3,3,2,2,3,4,3,3,3,2,2,3,3,3,3,2,3,1,1,2,1,2,1,5,5,3,4,5,3,4,6,3,4,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,2,2,30,1,2,1,6,1,1,3,1,2,0,0,0,0,3,2,0
1064,3,2,4,3,2,3,4,2,2,3,1,4,2,4,4,4,3,4,4,4,3,4,4,3,4,4,3,4,2,2,3,4,4,2,4,3,4,4,4,2,3,4,4,3,2,4,2,4,4,2,4,2,4,4,4,4,1,2,2,1,2,2,2,5,6,7,7,7,5,1,2,2,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3,3,2,2,25,1,2,1,1,1,1,2,0,0,0,0,0,0,2,0,0
1065,3,4,3,3,4,4,3,3,4,4,1,4,4,3,2,3,3,4,3,2,4,3,3,4,3,3,2,3,4,3,3,4,3,4,4,4,3,3,4,4,3,3,4,4,3,4,2,2,2,4,1,3,4,1,2,4,1,2,2,2,1,2,7,4,7,1,5,3,6,1,7,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,24,1,7,1,6,1,1,1,2,0,0,0,0,0,1,0,0
1066,3,3,2,3,3,3,2,2,3,2,4,2,3,3,2,2,3,2,3,3,3,2,3,3,4,3,4,3,3,3,3,3,3,2,4,3,3,3,2,2,2,2,2,3,2,4,3,2,3,3,4,2,3,2,3,3,2,1,1,2,1,2,5,3,0,0,0,0,5,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,1,2,60,1,6,1,6,1,2,5,0,0,0,0,0,0,2,0,0
1067,3,2,4,2,2,4,3,2,2,2,2,4,1,4,2,3,2,3,3,4,2,2,3,3,2,3,1,2,2,2,2,3,3,2,2,2,3,1,2,2,3,1,4,4,4,4,2,4,3,4,4,4,4,4,3,4,2,1,2,2,2,2,2,6,6,5,7,5,6,5,3,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,3,3,2,2,24,1,2,1,6,1,1,2,0,0,0,0,0,0,3,0,0
1068,4,3,3,3,1,3,4,3,3,3,4,4,2,4,2,3,2,3,2,2,1,1,1,4,2,2,1,2,1,2,2,2,3,1,1,3,2,2,1,4,4,2,4,4,3,4,3,4,4,3,4,3,4,4,3,4,1,1,2,2,2,2,7,6,4,7,7,1,7,6,1,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,19,1,9,5,6,1,1,2,2,0,0,0,2,0,1,1,0
1069,2,3,3,3,1,3,3,3,3,3,2,3,2,4,2,3,3,2,3,3,4,2,2,4,3,4,4,3,3,3,3,3,3,2,3,2,2,2,3,3,4,2,4,4,3,3,2,3,3,3,4,4,3,3,3,4,2,2,2,1,2,2,4,1,4,6,3,7,7,6,3,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,4,3,1,2,38,1,8,1,1,2,1,2,0,0,0,0,0,0,0,0,0
1070,3,4,3,4,3,4,3,4,4,3,1,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,2,3,3,2,2,4,2,3,3,3,2,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,2,3,1,1,2,2,2,2,2,1,5,2,7,6,6,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,4,3,2,3,3,4,4,2,2,3,3,3,2,4,3,4,4,2,4,4,3,4,3,2,4,4,2,3,4,4,3,4,4,4,4,4,3,3,4,3,4,4,3,2,1,3,1,1,4,1,4,2,4,2,3,1,2,1,2,1,1,1,5,6,7,1,5,6,1,1,7,2,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,3,3,1,2,25,1,8,1,1,2,1,1,1,0,0,0,0,0,2,0,0
1072,2,2,2,2,2,4,2,1,1,2,2,1,1,4,3,4,2,4,3,4,3,3,4,3,3,3,1,3,1,1,1,1,1,1,1,3,1,1,3,2,3,2,4,4,4,4,2,3,4,4,4,4,4,4,3,4,2,2,2,1,2,2,1,4,7,7,3,6,7,1,2,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,2,2,2,1,22,1,6,2,6,2,1,4,2,3,0,2,2,0,3,1,0
1073,1,2,1,3,3,3,1,1,1,2,1,4,2,3,4,2,3,4,4,2,3,4,4,3,3,2,3,4,2,1,4,3,4,3,4,2,1,3,2,1,3,2,4,4,3,4,1,4,4,3,4,4,4,4,4,4,2,2,2,1,2,2,1,2,6,5,5,7,6,1,7,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,2,2,2,1,21,2,10,2,6,2,1,3,0,4,0,1,0,0,0,0,0
1074,3,4,2,4,2,4,3,2,3,4,1,4,2,2,4,4,3,3,3,4,3,4,3,4,2,4,3,3,2,3,2,3,4,4,3,4,3,2,2,4,4,3,4,3,2,3,2,2,4,2,3,2,4,3,3,3,1,1,2,1,1,1,5,5,6,6,6,6,6,2,3,3,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,3,2,2,2,21,1,4,2,1,2,1,4,2,0,0,0,0,0,2,0,0
1075,3,3,3,3,2,3,3,3,3,4,2,3,3,4,3,4,2,3,2,3,1,1,3,3,1,3,1,2,1,3,4,1,3,2,2,3,3,1,1,2,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,3,1,1,2,2,2,2,5,5,4,6,7,2,3,5,2,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,29,2,2,1,6,2,2,3,1,3,3,3,0,1,2,0,0
