,Q1S,Q2S,Q3S,Q4S,Q5S,Q6S,Q7S,Q8S,Q9S,Q10S,Q11S,Q12S,Q13S,Q14S,Q15S,Q16S,Q17S,Q18S,Q19S,Q20S,Q21S,Q22S,Q23S,Q24S,Q25S,Q26S,Q27S,Q28S,Q29S,Q30S,Q31S,Q32S,age,gender,engnat
0,3,4,5,4,5,5,4,4,0,0,0,0,3,4,0,3,5,3,1,3,4,1,1,2,-1,2,4,4,3,2,5,4,22,2,1
1,1,1,5,1,5,3,-1,4,3,3,1,1,3,5,-3,0,1,3,-1,1,3,3,-1,-1,1,-1,1,5,3,1,1,3,17,1,2
2,5,2,5,2,5,5,4,5,2,3,3,1,3,5,5,4,5,5,5,5,4,3,4,4,5,5,2,4,5,4,5,5,37,1,1
3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,5,3,5,5,5,5,5,5,5,3,3,5,3,17,1,2
4,0,2,3,2,4,4,2,5,3,5,3,5,4,5,3,3,1,4,0,4,5,4,3,4,0,4,3,5,3,4,4,3,20,1,1
5,1,4,5,4,5,3,1,4,2,5,4,5,3,5,4,5,5,4,3,5,5,3,2,3,1,3,3,5,4,5,4,4,34,1,1
6,3,3,5,5,3,5,5,5,5,5,5,5,5,5,1,3,3,3,1,3,5,5,3,5,0,3,3,1,3,5,3,1,26,1,2
7,2,3,3,5,3,3,3,2,1,3,2,3,5,5,-1,3,5,2,1,2,5,3,-1,2,-3,0,2,5,4,2,4,3,26,2,2
8,5,5,5,3,4,3,1,1,5,1,3,5,-3,3,-1,-1,3,3,3,3,3,-1,1,3,-1,1,3,1,3,1,5,3,13,2,1
9,1,5,5,2,3,3,3,5,2,3,4,3,5,5,3,3,4,5,2,2,5,3,3,2,3,3,4,5,4,3,4,3,20,1,1
10,4,3,5,5,3,4,3,4,3,1,-2,0,1,4,0,-1,5,2,2,2,4,0,1,2,0,2,1,2,3,3,3,4,18,2,1
11,3,0,4,4,4,5,5,5,1,1,0,3,-2,5,0,2,3,4,2,3,3,1,2,4,0,3,2,4,2,2,4,4,38,2,1
12,0,1,5,0,5,3,4,3,3,4,3,3,4,5,3,0,3,5,2,4,5,0,3,3,0,2,3,5,5,3,5,3,28,3,1
13,5,3,3,3,5,5,5,3,3,5,3,3,1,3,-1,3,5,5,5,3,3,3,3,5,3,3,1,1,5,3,5,5,60,0,1
14,4,5,4,1,3,4,2,3,4,5,4,4,1,5,1,1,5,5,5,4,3,1,4,3,4,5,3,2,3,2,5,5,60,2,1
15,1,1,5,1,5,3,5,5,5,3,3,5,3,5,-1,-1,3,5,5,3,5,5,1,5,4,5,1,5,1,3,1,1,23,1,1
16,3,5,5,1,3,5,1,3,5,5,3,3,5,5,1,3,5,5,1,5,5,5,3,5,1,5,1,5,5,5,5,5,25,1,1
17,4,4,5,4,1,4,4,5,2,3,3,2,5,5,1,3,5,5,0,4,5,4,2,3,-1,2,2,5,5,4,5,2,28,1,1
18,1,4,4,4,5,5,3,1,4,5,5,5,5,5,1,3,4,5,5,2,5,5,2,1,0,5,3,5,4,4,4,3,23,1,2
19,0,1,4,5,5,4,3,4,3,3,3,4,4,5,0,2,4,2,4,3,5,3,5,2,-1,3,3,3,2,3,4,3,25,1,2
20,5,4,4,4,5,5,3,4,5,5,4,2,4,5,0,3,5,4,0,2,0,0,5,3,0,3,3,4,4,3,4,3,20,3,1
21,5,5,5,4,5,4,5,4,5,5,5,3,3,5,0,1,5,3,3,5,3,5,2,5,4,5,1,4,3,3,5,5,34,1,1
22,4,3,5,3,3,0,1,2,0,3,2,1,2,3,0,0,5,4,2,3,5,-1,1,0,-3,3,3,4,4,3,3,5,17,2,1
23,1,2,3,0,3,3,3,3,3,3,3,4,5,5,2,3,3,2,1,4,4,4,3,2,0,2,1,4,1,3,1,1,22,1,2
24,2,3,4,5,2,4,2,2,0,1,3,5,4,5,1,3,5,3,0,1,3,1,3,2,-2,2,2,4,0,1,2,2,19,2,2
25,1,5,5,1,5,5,3,5,3,5,3,3,5,3,-1,1,5,5,1,5,5,-1,3,5,1,3,1,3,3,1,3,3,22,1,1
26,1,3,5,4,3,3,1,0,2,3,2,4,5,5,3,4,3,3,0,2,5,5,3,3,1,4,3,4,1,5,4,0,22,1,2
27,5,5,4,4,4,4,2,3,4,2,2,0,0,4,-2,-1,5,4,1,2,1,0,0,1,2,1,3,3,5,2,3,5,16,2,1
28,0,1,2,3,1,2,1,-1,2,1,1,2,2,5,-1,1,-2,1,-1,1,-1,1,1,2,1,2,2,0,1,2,2,0,15,2,2
29,5,5,4,3,5,4,3,5,5,5,4,5,3,5,2,2,5,5,4,4,4,1,2,5,2,4,3,4,3,2,4,4,14,1,1
30,0,0,2,0,0,2,0,1,1,3,1,3,4,5,0,0,3,1,0,2,0,1,1,0,3,3,3,3,0,2,0,0,17,1,2
31,5,3,5,3,5,4,2,4,3,2,3,2,4,5,1,3,4,4,2,4,5,4,2,5,2,5,3,4,0,4,5,4,20,1,1
32,3,2,3,5,3,3,3,3,5,3,0,1,5,5,1,1,5,3,5,3,3,1,-1,1,1,5,1,2,1,3,4,5,31,2,1
33,3,5,4,4,5,4,2,4,5,5,4,4,3,5,1,2,5,5,5,2,4,4,4,2,3,4,3,5,4,5,5,5,29,1,1
34,4,3,5,4,5,4,4,4,5,4,4,5,1,5,1,3,5,4,5,4,3,2,3,5,1,4,4,4,5,4,5,3,34,1,1
35,3,5,5,4,5,4,4,5,4,2,1,1,3,5,-1,3,5,5,1,5,5,3,2,1,1,3,2,5,4,3,5,5,23,3,1
36,1,5,4,1,3,3,2,0,5,4,3,4,2,4,0,0,4,2,1,4,4,4,2,3,1,4,2,4,1,2,0,1,20,1,1
37,1,1,5,5,5,3,1,-1,3,3,3,1,3,3,1,1,5,2,1,3,3,1,3,1,0,3,1,1,1,-1,5,3,32,2,2
38,4,5,5,3,5,5,2,1,3,5,1,3,5,5,1,3,5,4,3,4,5,4,2,2,0,3,3,5,3,3,5,5,17,1,1
39,2,-1,3,2,5,4,2,1,3,4,5,3,5,5,2,1,3,5,2,3,5,2,1,3,1,5,1,5,2,5,5,2,18,1,2
40,2,3,5,2,5,4,4,3,1,1,1,0,0,4,-1,1,4,2,3,5,2,-1,1,3,-1,2,2,3,1,2,3,2,39,2,1
41,4,1,4,4,2,4,2,3,1,3,0,2,2,5,1,3,4,2,3,3,3,2,-1,1,4,4,2,3,3,2,4,1,23,2,2
42,1,3,3,3,5,5,1,3,3,3,3,3,3,5,-5,1,5,3,1,1,3,3,1,3,3,3,1,5,1,1,-1,3,18,2,1
43,2,5,5,4,4,3,2,3,2,2,1,3,4,5,1,3,4,2,2,4,3,1,2,3,0,3,0,4,4,2,1,4,22,2,1
44,4,3,4,4,5,4,2,4,3,1,2,3,1,4,0,2,4,1,-1,4,2,1,2,3,3,2,5,4,1,3,3,3,27,2,1
45,5,3,5,3,5,4,3,5,3,4,4,4,4,5,2,4,5,5,5,4,4,3,2,4,2,4,4,5,3,4,4,4,31,1,1
46,5,5,5,5,5,4,3,5,4,3,3,3,5,4,-1,1,5,3,3,5,3,3,2,3,2,3,2,3,2,1,3,4,23,2,1
47,0,5,2,4,2,3,0,0,-2,2,1,0,2,4,0,1,5,2,2,0,0,0,2,1,-1,2,3,3,3,1,2,2,20,2,1
48,2,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,2,0,3,2,4,0,72,2,1
49,3,-1,5,3,5,5,1,3,-1,-1,1,1,1,5,-1,1,1,5,-3,1,3,3,3,5,1,-1,1,1,3,3,5,1,24,2,1
50,3,0,4,3,4,2,3,1,3,5,2,3,5,5,3,3,1,4,2,1,5,4,3,2,-1,3,3,5,4,5,3,3,24,1,2
51,4,3,4,1,5,4,2,2,2,1,3,3,4,5,1,3,3,1,3,3,4,1,2,2,-1,3,3,3,1,4,4,0,28,1,2
52,3,3,3,3,5,4,1,3,5,5,5,3,3,5,4,2,2,1,1,2,3,1,3,3,2,1,1,4,3,4,3,0,30,1,2
53,5,2,5,2,5,4,3,2,1,1,1,2,2,4,0,1,5,4,1,5,1,-1,-1,2,0,1,1,3,2,0,4,1,41,2,1
54,1,3,5,2,5,3,1,3,1,1,2,4,4,5,2,3,5,4,2,4,4,2,2,5,-1,4,2,4,4,5,4,3,49,1,1
55,4,5,5,4,5,4,2,5,2,2,2,1,4,4,-1,1,5,3,3,4,3,2,1,2,0,3,3,4,5,2,5,3,31,2,1
56,3,5,5,3,5,5,3,3,4,2,3,1,2,5,0,3,5,5,4,3,3,1,3,4,3,4,3,5,5,2,5,4,23,1,1
57,3,5,3,5,5,5,3,5,2,1,3,3,3,5,-1,3,5,3,3,5,3,1,1,5,-3,-1,5,3,5,5,5,5,35,2,1
58,4,5,5,4,4,4,2,1,0,-1,2,2,2,5,0,0,5,4,0,3,3,0,1,1,1,2,4,5,5,2,4,5,16,2,1
59,4,3,4,5,5,5,5,4,1,2,2,4,4,4,3,4,5,5,2,4,5,0,2,4,2,3,3,2,3,3,4,5,53,1,1
60,5,3,4,4,5,5,4,4,2,5,3,3,0,4,0,1,5,3,3,5,2,1,2,4,0,4,3,2,4,3,3,3,51,2,1
61,3,4,5,5,5,4,5,1,5,5,5,5,3,5,1,3,5,5,3,2,5,2,4,2,2,5,3,5,3,3,5,3,17,1,2
62,5,3,5,5,5,5,3,5,1,1,1,1,1,3,-3,3,5,3,5,3,3,1,5,3,1,1,-1,3,3,3,5,3,34,2,1
63,3,3,5,4,5,3,5,5,4,2,3,1,2,4,0,-1,4,5,1,4,4,2,5,2,0,-1,3,3,4,2,4,0,27,2,1
64,3,3,5,3,5,5,4,4,4,3,3,3,5,5,3,4,4,3,1,4,4,3,2,5,3,5,4,5,4,3,5,3,23,1,1
65,4,5,5,5,5,4,2,3,3,5,5,5,5,5,0,4,5,4,3,3,5,3,4,4,4,4,5,4,4,4,3,5,22,2,1
66,2,5,5,5,5,5,3,3,5,5,4,3,3,5,3,2,5,3,3,1,4,1,2,4,0,5,4,5,4,5,5,2,35,1,2
67,2,4,5,3,5,5,4,3,0,0,2,1,1,4,0,2,5,0,0,3,1,1,1,3,0,2,5,5,4,3,5,4,26,2,1
68,0,4,5,2,5,4,2,2,2,1,1,1,4,4,0,1,4,4,3,2,4,3,3,3,-1,4,2,5,3,3,5,4,15,2,1
69,1,3,4,2,4,3,3,-1,2,4,4,4,5,5,0,2,3,3,2,3,4,1,4,4,2,3,3,0,0,3,3,1,49,1,2
70,1,-1,5,0,3,3,3,3,1,3,3,3,4,5,1,2,2,2,3,1,3,1,2,3,1,3,3,5,1,1,1,1,24,1,2
71,1,5,4,3,3,5,1,0,3,3,2,2,3,5,5,3,3,3,-1,3,5,3,1,1,1,3,0,5,4,0,1,1,48,1,1
72,1,-1,1,3,1,1,1,3,3,5,3,3,5,5,3,3,2,3,1,1,5,5,3,5,1,3,1,5,1,5,5,1,18,1,1
73,2,4,5,4,5,4,3,4,4,5,4,4,5,5,4,4,5,2,4,4,5,5,2,3,0,3,3,5,2,5,3,2,34,1,1
74,3,1,5,3,1,2,3,2,0,0,3,1,3,5,2,3,4,3,0,1,4,3,3,0,1,3,2,5,4,1,3,2,15,1,1
75,0,2,5,3,4,5,2,4,2,3,2,2,1,4,0,0,4,0,1,0,2,0,4,2,0,2,4,4,1,1,2,3,19,2,1
76,5,4,5,3,5,4,4,2,5,4,2,5,3,4,1,1,5,4,2,5,4,0,3,5,1,5,3,3,5,2,5,5,48,2,1
77,0,3,2,1,4,0,4,4,0,1,3,4,0,5,0,2,-1,2,1,2,1,1,1,3,1,2,1,-1,-1,0,1,0,22,3,2
78,2,2,0,5,5,4,3,4,-1,3,3,3,2,3,-1,1,3,3,3,1,0,-5,0,1,0,-1,1,4,-1,4,3,2,19,2,1
79,3,5,5,4,5,5,3,5,4,4,4,5,4,5,1,1,5,3,4,5,5,4,3,4,2,4,3,4,4,5,4,5,27,1,1
80,2,1,3,2,3,0,-1,4,0,3,3,3,5,5,0,0,1,1,-1,3,5,4,0,1,-2,5,2,3,1,2,4,-2,22,1,2
81,3,4,5,4,4,4,3,3,3,5,4,3,5,5,3,3,5,4,1,3,5,4,1,4,3,5,5,5,4,5,5,3,20,1,1
82,3,2,3,0,3,2,1,1,-1,2,3,5,4,5,2,2,3,4,0,1,5,1,1,2,2,4,2,5,1,4,3,1,22,1,2
83,3,4,4,4,5,3,0,3,1,0,2,2,2,4,0,3,5,3,0,2,5,4,-1,2,1,2,4,4,3,3,4,4,21,2,1
84,3,4,4,5,3,4,3,3,3,5,4,2,4,4,0,2,5,2,4,4,2,1,3,2,2,1,4,-1,2,3,3,4,41,2,2
85,2,4,4,2,5,3,2,4,3,4,4,3,2,5,0,3,4,3,2,3,4,4,4,4,2,3,3,5,4,2,3,3,23,1,1
86,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,1,1,0,1,1,-1,0,1,1,-3,1,1,-1,18,2,1
87,0,0,3,2,0,2,1,2,-1,2,1,1,4,5,2,3,3,4,0,1,4,3,1,2,0,3,1,3,1,1,4,1,18,1,1
88,0,1,4,3,5,3,2,5,3,5,2,5,5,5,2,3,4,3,3,3,3,5,3,2,3,3,2,3,3,5,2,2,33,1,2
89,3,5,4,4,5,4,4,3,4,5,5,5,2,4,-1,0,5,5,2,5,4,0,3,5,2,3,2,1,4,3,5,5,54,1,1
90,5,5,4,5,5,4,4,5,2,5,4,4,3,5,0,3,5,5,3,5,3,1,1,5,-1,4,3,3,5,1,5,5,50,2,1
91,2,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,0,3,4,3,4,5,4,4,51,1,1
92,3,2,2,3,4,2,1,1,3,3,1,3,1,5,0,2,1,2,1,2,2,5,1,2,3,1,3,5,-2,3,2,-1,16,1,1
93,0,1,3,1,4,2,3,3,-1,4,3,3,5,5,3,3,2,2,2,1,3,5,1,2,-1,4,3,5,2,5,3,1,20,1,2
94,1,2,4,3,5,3,4,5,4,5,3,5,5,5,1,2,2,5,1,4,5,3,3,1,2,3,4,5,3,4,3,2,27,1,2
95,3,5,5,4,5,5,3,1,3,5,4,2,4,4,0,0,5,4,4,4,3,1,3,4,3,2,4,3,4,3,5,4,35,2,1
96,-1,3,5,5,3,3,5,3,0,1,1,3,3,5,-3,4,3,5,1,3,3,-1,3,-1,3,3,1,3,3,1,2,1,18,2,1
97,0,1,3,2,2,2,1,3,1,-1,1,3,4,5,1,2,4,3,2,1,3,3,2,-2,3,2,2,5,2,1,1,0,17,1,1
98,0,2,4,3,4,4,3,2,5,4,4,4,5,5,-1,2,4,1,3,4,4,1,2,2,2,4,2,2,3,1,4,0,49,1,2
99,2,3,5,2,4,4,2,3,5,5,3,3,1,5,3,5,5,3,3,4,5,2,3,2,3,4,3,4,4,4,3,4,23,1,1
100,5,3,5,3,5,3,3,5,4,2,5,5,5,5,0,3,4,5,3,5,3,1,3,5,3,1,3,2,3,5,5,1,33,1,1
101,5,5,5,2,5,4,3,5,4,4,2,0,1,4,1,3,4,2,4,4,2,1,3,4,3,2,4,4,4,2,4,4,20,2,1
102,0,0,1,3,2,3,1,2,3,5,2,5,5,4,0,3,2,1,1,3,5,3,3,2,1,1,3,1,2,3,-1,0,17,1,2
103,1,0,4,2,5,3,3,5,2,3,3,3,5,5,5,4,2,3,1,3,5,5,5,5,3,2,2,5,3,-1,3,0,21,1,1
104,5,4,5,3,5,4,3,5,5,5,5,5,5,5,3,3,5,3,3,5,5,3,2,5,5,3,3,5,4,4,5,3,33,1,1
105,2,3,4,1,5,4,1,4,3,5,5,5,5,5,5,3,4,1,2,1,5,1,2,3,0,4,3,4,1,5,3,4,24,1,1
106,2,3,5,4,5,3,5,3,5,5,5,3,5,5,5,3,1,5,3,5,5,3,1,3,0,5,1,5,5,4,3,4,15,2,1
107,2,0,3,3,5,3,4,4,3,2,1,2,3,2,1,2,5,3,3,2,3,1,2,3,-1,0,2,3,2,2,3,3,41,2,1
108,4,2,5,3,4,5,2,3,5,5,3,3,4,5,0,4,5,3,5,4,3,4,3,5,1,2,3,3,4,2,5,4,42,2,1
109,1,1,3,3,3,3,1,1,3,5,3,3,1,3,-3,1,5,3,3,1,5,5,3,3,1,5,3,5,3,1,3,1,18,1,2
110,0,2,4,3,5,5,4,2,3,5,3,1,-1,5,0,0,5,1,2,4,3,0,1,1,0,2,3,0,2,3,4,3,37,2,2
111,4,2,5,2,5,5,2,1,5,5,3,4,3,4,1,2,5,5,1,5,4,1,2,3,0,5,3,3,4,3,3,5,28,2,1
112,3,5,5,3,5,4,4,5,4,5,5,5,4,5,1,2,4,2,0,5,3,4,3,5,2,5,3,5,3,4,5,4,25,1,1
113,3,4,5,5,5,5,4,4,0,2,2,1,2,5,1,1,5,3,4,4,4,2,2,5,2,3,5,3,4,2,5,5,39,2,1
114,2,3,4,3,5,3,3,3,2,5,2,1,2,3,-1,3,4,4,2,5,5,0,0,5,2,3,2,3,1,2,5,4,77,1,1
115,1,4,3,2,3,2,2,1,0,1,0,0,0,3,0,1,4,2,0,1,2,0,2,1,0,2,2,4,3,3,1,2,14,1,1
116,3,5,4,3,4,4,3,5,3,2,3,1,4,5,0,2,3,2,2,3,2,1,3,2,1,4,-1,3,2,2,4,4,21,0,1
117,2,5,3,4,5,4,4,5,1,2,2,4,4,4,0,3,5,4,-1,3,3,2,1,4,-1,3,3,4,2,2,4,2,21,2,1
118,1,2,3,3,3,4,3,2,1,4,1,2,4,5,0,3,5,2,1,2,5,0,3,3,0,2,3,5,3,3,4,1,20,1,1
119,5,3,5,3,5,3,4,5,3,5,4,5,4,5,1,3,5,4,1,4,5,5,3,5,3,5,3,4,5,4,5,5,33,1,1
120,4,1,5,4,4,4,3,2,1,-1,1,1,5,5,0,3,4,4,1,5,0,0,0,1,1,2,1,3,2,3,3,3,25,2,1
121,0,2,3,3,5,5,1,1,1,2,2,2,1,5,0,1,3,1,2,3,4,4,0,0,0,1,3,2,1,1,5,1,25,2,2
122,5,3,4,3,4,3,3,3,4,5,5,5,3,4,0,2,5,5,5,5,5,1,1,4,1,3,1,2,3,3,4,4,60,1,1
123,2,3,3,2,3,3,3,3,1,1,2,0,2,5,-2,3,3,0,1,2,0,1,1,2,1,2,3,4,2,1,3,1,18,3,2
124,2,2,1,1,3,1,5,2,3,5,3,1,3,5,0,2,5,1,1,-1,0,3,1,1,-1,2,3,5,0,1,0,-1,17,2,2
125,5,5,5,2,5,4,3,3,5,5,3,5,3,5,3,2,3,3,3,3,5,3,2,1,-1,3,2,5,3,5,5,3,20,1,1
126,3,3,4,5,4,4,3,3,5,4,2,3,3,4,-1,2,5,4,0,3,5,0,1,4,1,3,3,3,2,4,5,4,47,1,1
127,0,-1,3,3,3,3,0,-1,1,3,2,3,5,5,1,3,3,4,3,1,5,3,3,2,1,3,1,5,3,5,1,0,23,1,2
128,3,2,0,5,4,0,0,0,3,2,2,0,4,5,0,2,0,2,3,1,1,0,0,3,0,-1,2,4,0,1,4,3,25,2,2
129,2,1,3,3,3,3,3,2,3,-1,1,1,1,3,1,1,3,3,3,2,1,1,2,1,-1,-1,3,5,2,-1,3,3,17,2,1
130,3,1,4,1,5,3,2,4,3,5,2,1,3,5,3,3,3,3,3,3,5,5,3,2,1,3,3,5,3,3,3,2,21,1,1
131,3,4,5,4,5,3,3,5,2,1,5,2,3,3,0,1,5,5,5,5,4,4,3,4,4,3,3,3,5,3,3,3,30,2,1
132,1,1,2,3,2,3,0,2,0,2,1,2,5,5,1,2,2,2,1,3,4,3,1,1,0,2,1,5,0,5,2,2,21,1,1
133,4,4,4,4,5,4,2,3,3,4,2,2,5,4,0,2,4,2,4,2,0,1,3,2,1,2,4,4,3,3,4,3,22,2,1
134,1,2,5,3,4,2,1,1,0,4,1,3,3,4,-1,4,3,5,0,1,5,1,3,1,1,3,2,3,2,4,3,2,16,2,2
135,2,4,5,5,3,4,1,2,5,5,3,2,4,5,1,2,5,5,1,5,5,2,3,2,2,5,3,3,3,5,3,3,45,1,1
136,3,3,4,4,3,2,2,1,3,2,-1,2,3,4,0,0,2,4,3,3,4,2,1,2,1,4,3,1,2,3,4,2,21,2,2
137,5,5,5,4,5,5,4,5,2,3,3,0,1,4,-2,3,5,4,5,5,3,5,3,5,1,2,3,4,0,1,5,4,25,2,1
138,1,4,5,3,5,4,4,5,3,3,3,2,3,5,3,2,4,5,2,3,5,4,5,5,2,5,3,4,4,2,5,5,21,1,1
139,0,1,4,1,2,3,2,3,2,2,1,3,4,5,-1,2,2,1,0,1,2,2,2,3,-2,2,1,5,1,2,1,2,17,1,1
140,1,3,5,1,5,3,3,2,4,3,2,4,3,5,0,1,3,-1,3,4,4,4,1,3,0,4,3,5,1,5,5,5,18,1,1
141,1,1,3,2,1,3,2,3,0,3,2,4,4,5,3,3,3,3,0,3,4,2,2,2,-1,2,3,4,3,3,4,2,29,1,2
142,0,3,5,2,5,4,2,3,3,5,4,3,5,5,5,4,5,4,1,3,5,3,2,3,0,5,3,4,4,5,3,5,38,1,2
143,4,4,4,2,4,4,3,5,3,4,4,4,3,5,3,1,5,4,2,4,5,3,1,4,3,5,4,5,4,5,4,3,21,1,1
144,2,4,5,4,5,4,4,3,-1,-1,3,3,5,5,3,4,4,5,4,3,5,4,1,3,3,5,4,5,3,5,5,5,22,1,1
145,2,3,2,2,2,5,2,2,1,3,2,2,5,5,1,2,5,2,2,2,4,2,2,2,1,2,2,3,2,1,4,3,23,2,2
146,2,3,1,0,3,2,1,4,-1,1,3,3,4,4,3,2,4,-2,3,4,4,4,0,3,4,4,-1,1,2,3,-1,-1,19,2,1
147,1,3,5,3,5,4,5,4,3,3,2,3,4,3,1,3,2,2,3,3,5,3,1,2,1,1,5,3,0,4,4,1,28,1,1
148,2,3,4,3,3,3,2,4,0,0,3,1,2,4,0,2,5,2,0,3,-1,0,2,3,0,2,3,4,2,2,3,1,25,2,1
149,3,3,5,1,5,3,3,1,5,3,5,5,3,5,1,1,3,3,1,5,5,3,5,5,3,3,1,3,3,5,5,3,26,1,1
150,0,-2,3,1,4,1,2,-1,1,3,1,3,5,5,-1,3,3,4,1,1,5,5,2,3,-1,1,1,-1,2,3,0,0,30,1,2
151,1,-1,4,3,4,4,4,1,5,4,5,5,5,5,2,2,3,0,2,2,5,3,2,2,2,3,3,1,1,5,4,0,47,1,2
152,3,5,4,5,5,4,4,5,5,5,3,3,4,5,-2,3,5,3,2,3,5,3,1,3,0,5,4,5,4,3,5,4,20,2,1
153,2,4,5,4,5,5,2,1,5,5,5,5,5,5,1,1,3,5,5,2,5,1,3,3,2,3,3,1,5,5,5,1,40,1,2
154,3,5,4,2,5,4,4,4,5,4,1,4,5,5,-2,1,5,3,3,5,3,3,4,5,3,5,4,5,4,1,4,4,30,0,1
155,1,1,5,1,5,5,3,3,3,3,1,5,5,5,3,3,5,5,3,5,5,3,1,1,1,5,1,3,3,5,3,3,49,1,1
156,4,5,5,3,5,5,4,5,2,3,1,0,4,4,0,2,5,4,2,5,3,2,2,3,3,4,2,4,5,4,5,5,38,2,1
157,1,2,5,5,5,4,3,1,1,2,2,1,2,5,-1,3,5,4,2,2,5,3,2,2,0,4,4,3,3,1,4,3,37,2,1
158,1,4,5,3,4,3,0,0,-1,1,3,1,4,5,0,2,4,2,1,4,4,1,4,1,1,3,2,5,4,3,1,3,16,2,1
159,3,3,5,3,5,5,4,5,3,-1,1,3,3,5,1,4,5,3,3,3,5,2,3,5,3,1,4,3,4,3,3,3,33,1,1
160,1,0,4,2,4,2,2,2,0,0,1,1,4,4,-1,0,2,3,1,4,5,0,1,-1,-2,2,4,2,1,3,3,1,23,1,1
161,3,4,5,5,5,4,3,4,2,3,3,3,3,5,0,3,5,4,3,5,5,1,2,3,1,5,5,3,3,5,4,5,32,2,1
162,2,4,5,5,4,5,1,2,1,3,3,5,5,5,3,4,5,4,2,3,5,4,2,3,0,5,3,5,4,5,5,3,17,1,2
163,1,0,3,3,1,3,3,-1,3,5,1,2,3,5,3,3,1,1,-1,3,3,4,3,0,1,3,3,3,2,3,2,1,19,1,2
164,1,5,4,4,4,4,3,4,4,5,4,4,2,5,-1,2,5,0,2,5,2,1,2,3,0,1,2,4,4,2,4,4,56,2,1
165,2,3,4,1,5,3,3,1,4,4,2,5,5,5,1,2,3,5,3,4,5,1,1,3,2,5,4,4,3,3,5,1,24,1,1
166,4,2,3,4,5,4,3,3,0,2,2,2,1,3,-2,2,1,3,0,1,3,2,2,3,-1,2,2,5,4,3,4,3,18,1,1
167,3,1,5,3,4,4,4,4,2,5,5,5,5,5,3,5,5,2,4,4,5,4,4,4,1,5,4,4,4,5,4,2,26,1,2
168,3,3,4,3,5,3,5,5,2,3,4,5,5,5,3,1,5,5,1,5,5,2,3,4,3,5,3,3,5,5,5,5,46,1,1
169,4,5,5,4,5,4,3,5,0,1,1,2,0,4,-1,2,5,0,-1,4,2,0,2,4,3,1,4,5,4,2,4,5,34,2,1
170,5,5,5,4,5,5,5,4,5,5,5,5,3,4,0,0,5,5,5,5,4,4,5,5,3,4,5,4,5,3,5,5,54,1,1
171,3,4,4,2,4,3,3,5,1,3,3,2,3,5,3,4,5,5,3,5,4,2,2,2,0,4,3,5,4,5,5,4,30,1,1
172,1,4,4,3,2,4,1,1,4,4,3,2,3,4,-2,1,3,1,1,2,4,1,2,3,0,2,3,2,1,0,2,1,19,2,2
173,0,-3,5,3,5,4,4,4,3,4,4,3,5,5,5,4,3,5,1,4,5,5,2,4,0,5,1,4,2,5,4,2,23,1,1
174,3,1,3,3,3,5,3,1,1,1,-1,1,5,3,-3,1,5,3,3,5,3,1,-1,3,1,3,1,2,3,3,4,1,49,2,1
175,3,3,5,5,3,3,1,1,5,3,3,1,5,5,-1,3,5,1,5,1,4,1,-1,1,-1,5,3,5,5,1,3,3,18,2,2
176,3,-1,5,5,5,5,3,5,3,5,3,3,3,5,-2,1,5,3,3,5,3,3,3,5,1,3,3,2,1,3,5,5,37,2,2
177,3,3,5,2,5,5,2,5,-1,2,3,1,3,5,-1,1,3,3,3,1,5,2,5,3,0,4,2,3,3,5,3,5,25,1,1
178,2,3,5,5,5,4,4,3,0,2,1,2,0,4,0,4,4,4,4,4,4,1,1,1,0,2,3,4,2,3,4,3,24,2,1
179,2,1,4,3,3,3,3,5,1,1,2,2,3,4,0,1,2,4,0,0,3,0,2,2,0,2,1,4,2,3,4,2,23,1,1
180,4,5,5,5,5,4,4,3,5,5,3,4,3,5,1,2,5,5,5,4,3,1,3,4,3,4,3,4,2,4,5,4,28,2,1
181,0,0,1,3,1,5,2,1,3,3,2,3,3,5,1,1,2,1,0,1,2,1,1,2,0,4,1,5,1,1,3,0,15,1,2
182,2,5,4,4,4,3,2,0,3,2,1,1,0,4,0,1,5,2,1,1,0,1,2,1,0,3,1,4,5,2,1,1,16,2,1
183,3,3,4,3,3,3,2,0,1,2,1,3,4,4,0,1,4,2,0,1,3,0,-1,2,0,3,3,5,3,2,1,1,17,2,1
184,4,5,5,5,5,4,3,5,2,5,3,3,4,4,0,0,5,5,4,5,2,3,4,5,1,3,4,4,4,2,3,5,34,2,1
185,2,1,3,3,4,3,4,5,1,4,3,2,5,5,3,4,5,4,4,2,5,5,2,5,2,4,3,5,5,5,3,3,22,1,1
186,-1,-1,1,3,3,3,3,-1,3,5,5,5,5,5,1,3,3,1,1,3,3,3,4,1,1,3,1,3,3,3,5,1,23,1,2
187,-1,3,5,3,5,4,3,4,2,2,1,2,5,5,-1,2,5,4,2,5,3,1,1,5,-1,2,3,4,1,2,3,3,23,2,1
188,2,1,2,3,4,4,5,2,0,-1,0,-2,0,4,0,0,4,2,1,5,0,2,2,1,-1,2,3,2,3,3,4,2,32,2,1
