,Q1S,Q2S,Q3S,Q4S,Q5S,Q6S,Q7S,Q8S,Q9S,Q10S,Q11S,Q12S,Q13S,Q14S,Q15S,Q16S,Q17S,Q18S,Q19S,Q20S,Q21S,Q22S,Q23S,Q24S,Q25S,Q26S,Q27S,Q28S,Q29S,Q30S,Q31S,Q32S,age,gender,engnat
16324,1,0,1,0,2,4,-1,0,0,4,2,2,5,5,0,1,3,4,0,2,3,-1,1,1,0,2,1,0,1,1,3,1,18,1,2
16325,4,3,4,3,5,3,3,5,5,1,3,4,2,5,1,3,4,2,2,1,3,2,1,5,1,2,2,5,3,3,3,4,19,1,1
16326,5,5,4,2,4,3,0,3,1,1,2,1,3,3,0,2,3,1,3,5,1,2,2,2,0,3,1,5,5,2,1,3,19,2,1
16327,1,1,5,4,5,3,3,5,0,1,3,4,3,5,-1,1,5,4,-1,5,5,3,3,3,-1,3,2,3,5,2,4,3,47,1,1
16328,3,3,3,2,3,3,1,2,2,2,2,2,1,4,1,3,2,2,0,3,1,1,2,1,0,2,1,4,2,2,4,1,15,1,1
16329,3,4,5,4,5,5,3,5,0,2,3,2,3,4,-1,0,5,4,3,4,3,0,2,5,0,3,3,4,2,3,5,5,37,2,1
16330,3,3,5,3,3,3,5,5,2,2,3,3,5,5,0,2,4,1,1,2,3,0,1,2,4,5,1,3,3,3,4,1,21,1,1
16331,1,1,4,3,5,2,4,3,1,2,3,2,5,4,2,2,4,5,1,5,5,2,2,4,0,5,1,2,3,4,4,5,77,1,1
16332,1,4,4,2,5,4,4,5,3,4,5,4,5,5,5,1,5,5,1,3,5,5,2,5,5,5,4,4,3,5,5,3,24,1,2
16333,1,3,5,3,5,5,3,1,3,1,1,1,3,5,-1,3,3,3,1,2,5,1,3,1,1,3,3,5,-1,1,3,1,16,2,1
16334,4,5,4,3,5,5,4,1,5,4,3,3,3,4,1,3,5,5,2,4,4,1,2,4,3,4,4,4,5,3,5,5,24,2,1
16335,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,20,2,2
16336,0,4,4,5,5,4,3,4,1,0,1,1,3,4,1,0,2,3,3,4,4,2,3,5,0,2,3,4,2,2,3,2,31,2,1
16337,1,1,5,3,3,5,-1,1,5,3,3,1,1,3,-1,3,5,1,3,3,3,1,5,1,-1,0,0,5,1,1,1,3,15,2,1
16338,2,4,4,3,4,4,3,5,-1,4,3,3,3,5,0,2,2,1,-1,1,5,4,1,2,-1,2,1,5,1,3,2,1,21,1,1
16339,1,0,4,4,4,3,3,2,3,5,3,4,4,5,4,3,4,2,3,4,4,2,3,2,3,3,2,1,0,4,4,2,47,1,2
16340,4,-1,4,3,5,5,4,4,1,-1,2,3,1,4,0,-1,4,4,1,4,4,1,1,3,-1,0,1,2,2,2,5,4,32,2,1
16341,1,3,4,5,5,4,3,3,3,5,4,4,2,5,-1,2,5,5,4,5,4,3,0,4,-1,2,3,1,3,3,5,4,45,1,1
16342,4,0,3,3,5,3,0,5,0,1,1,-1,3,4,0,0,1,2,2,1,1,0,1,2,3,3,2,0,2,1,1,0,17,1,1
16343,-3,1,5,3,5,3,-3,3,-1,3,3,3,3,5,3,3,3,5,3,5,3,5,1,-1,3,3,1,3,3,5,1,3,20,1,1
16344,1,4,5,3,5,4,5,5,0,3,1,3,5,5,1,2,4,3,1,5,4,2,1,3,-2,3,2,5,1,4,4,4,24,1,1
16345,3,1,5,1,3,3,3,3,1,5,1,3,5,5,3,1,5,5,1,3,4,5,2,2,1,3,1,5,3,4,3,5,24,1,2
16346,0,0,0,0,0,0,3,0,0,3,0,0,2,5,-1,-3,0,0,0,0,0,0,0,0,0,3,3,2,0,-1,0,0,19,3,1
16347,1,-1,3,-1,5,3,-1,1,1,3,3,3,5,5,1,1,1,5,1,1,5,5,1,1,1,3,1,5,3,2,3,3,18,1,1
16348,3,3,3,5,5,5,5,5,2,2,1,2,2,5,-1,2,5,5,4,4,4,2,3,5,0,3,3,3,5,3,5,5,44,2,1
16349,2,2,4,2,5,1,4,4,3,1,2,3,3,4,2,1,0,5,-1,4,4,1,2,3,0,3,0,2,3,-1,3,2,53,2,1
16350,1,5,3,1,5,5,1,3,3,5,3,3,3,5,3,3,3,3,1,3,5,5,4,0,3,5,3,3,1,5,4,3,30,1,2
16351,0,2,2,0,0,1,2,1,-1,-1,1,0,2,1,-1,-1,2,1,-2,-1,1,-1,1,1,-1,0,1,1,2,1,1,3,19,1,2
16352,3,4,5,4,5,3,2,3,5,5,5,5,3,5,4,5,4,3,2,3,3,3,3,5,4,5,2,2,0,5,3,2,30,1,2
16353,5,5,5,5,5,2,5,5,5,1,3,1,1,5,0,2,5,3,5,5,3,0,3,5,5,4,4,4,5,3,5,5,27,2,1
16354,1,1,3,3,5,4,0,1,-1,3,1,2,2,3,0,1,5,5,0,2,3,0,-1,2,-1,3,-1,1,3,3,3,3,15,2,1
16355,4,3,5,3,3,3,4,4,1,3,1,3,4,5,1,1,3,4,2,2,2,4,2,1,-2,2,2,5,1,2,2,2,17,1,1
16356,2,2,5,3,5,4,5,3,4,3,2,4,4,5,2,1,3,5,1,5,4,1,1,4,-1,2,3,3,3,4,3,3,53,1,1
16357,1,4,5,5,5,3,2,4,3,5,4,3,1,5,-1,0,4,2,3,2,2,5,5,1,-1,2,4,4,0,2,4,3,24,2,2
16358,2,1,5,3,5,5,3,2,2,0,1,3,2,4,1,0,5,5,2,4,5,0,0,4,0,3,1,1,4,3,5,5,62,0,1
16359,5,4,5,5,5,4,5,3,4,4,3,1,2,3,0,0,5,5,3,5,2,0,2,5,1,3,3,4,5,4,5,5,40,2,1
16360,1,3,5,1,5,5,3,2,2,4,1,3,5,5,5,3,5,5,5,5,3,5,1,3,3,3,3,4,3,5,3,5,39,1,1
16361,4,4,5,2,4,4,2,1,3,2,2,1,0,4,-1,3,4,4,2,5,4,1,2,1,2,3,2,5,4,2,5,5,16,2,1
16362,5,5,1,3,3,5,3,1,0,4,1,3,4,5,-1,3,5,1,1,1,3,1,-1,5,3,3,3,5,3,-1,3,3,15,3,1
16363,0,1,5,5,5,5,1,1,3,5,5,4,3,5,3,3,5,3,5,3,2,3,1,3,1,3,5,3,5,5,5,1,20,1,1
16364,3,4,3,5,5,4,2,2,3,5,4,3,5,5,-1,2,5,3,1,2,3,3,3,2,2,4,3,5,1,0,2,2,24,2,2
16365,1,1,5,3,5,5,5,5,-1,-1,3,1,2,3,0,1,3,5,1,5,1,3,1,3,-1,1,1,3,1,1,5,5,20,2,1
16366,3,5,3,1,5,3,1,3,3,1,3,1,3,5,0,1,5,3,1,3,5,1,1,1,1,1,3,3,5,3,3,3,21,2,1
16367,1,5,5,3,5,5,4,5,1,0,2,2,0,4,0,0,5,2,4,4,4,4,1,2,1,2,4,4,5,3,4,4,29,2,1
16368,2,3,4,3,4,4,2,3,2,2,2,1,2,4,-1,2,5,3,3,5,2,2,2,1,0,2,4,3,4,2,5,2,26,2,1
16369,0,0,3,0,4,3,-1,4,1,2,3,1,3,5,0,2,3,1,1,1,3,3,1,2,-1,1,0,5,0,4,2,2,15,1,1
16370,2,4,3,3,3,4,3,5,5,5,3,3,5,5,2,1,4,5,2,2,5,5,0,2,1,3,2,5,2,3,3,3,19,1,1
16371,4,5,5,5,3,4,3,3,4,5,5,5,3,5,0,3,5,3,3,4,4,3,2,3,2,4,2,5,3,4,3,5,20,2,1
16372,3,4,4,2,5,3,3,5,2,2,2,3,5,5,3,1,5,5,2,4,5,1,2,2,-1,5,2,4,5,2,4,4,31,1,1
16373,3,5,5,4,4,5,1,1,3,2,1,1,1,5,0,3,5,3,0,3,3,1,1,2,1,3,4,5,2,2,3,4,16,2,1
16374,-3,1,1,-1,2,0,1,2,3,-1,1,3,1,5,-1,2,3,1,-1,1,4,-1,1,1,1,2,2,2,-1,2,-1,0,18,2,2
16375,4,4,5,4,2,3,2,3,0,1,1,2,3,5,0,2,4,2,1,2,3,1,1,1,1,3,3,5,0,2,3,3,18,2,1
16376,2,3,3,5,3,4,2,2,4,4,0,2,5,5,1,3,5,2,1,2,3,1,2,2,-2,3,3,2,2,4,3,3,36,1,2
16377,1,5,5,4,3,2,1,2,0,1,0,1,3,5,0,2,3,2,0,3,0,1,1,1,1,2,3,5,0,1,3,2,15,1,1
16378,2,4,5,2,5,4,4,5,1,4,4,5,3,4,0,1,3,5,-1,5,5,1,3,5,1,4,4,4,3,3,5,4,44,1,1
16379,1,5,5,4,4,4,1,1,0,2,2,3,4,5,0,3,4,2,2,3,3,0,2,1,2,2,3,5,3,3,3,4,19,2,1
16380,0,3,4,1,4,3,2,5,1,2,1,4,3,5,1,3,5,3,3,2,5,3,2,2,1,4,4,4,3,5,3,2,28,1,1
16381,3,3,3,5,5,3,3,4,1,3,5,3,-1,3,-3,3,4,3,5,3,3,3,3,5,-1,3,3,-1,3,3,5,-1,58,1,2
16382,1,2,5,2,0,3,3,5,0,0,2,2,0,5,4,3,2,2,3,3,4,3,2,3,0,3,3,4,3,2,3,1,22,1,1
16383,5,5,5,4,5,4,2,2,3,5,2,5,3,5,2,3,4,2,4,5,5,5,3,3,4,4,4,5,4,1,3,1,22,1,1
16384,0,3,3,1,4,3,3,1,0,2,2,3,5,5,1,3,3,1,0,4,1,1,1,3,1,4,2,5,4,3,3,0,20,1,2
16385,1,5,5,3,4,4,4,5,-1,3,2,3,4,5,0,3,4,3,1,3,3,4,2,2,0,5,3,5,2,3,1,3,20,1,1
16386,5,5,5,5,4,3,2,3,4,0,2,3,3,4,0,2,5,1,3,4,3,2,1,3,2,0,2,3,5,1,1,4,16,3,1
16387,3,4,4,4,5,4,4,3,2,2,3,2,3,5,1,1,5,5,1,5,4,1,3,4,2,4,4,3,5,4,5,5,40,2,1
16388,5,5,5,4,4,4,2,3,-4,4,2,1,3,4,-1,2,5,5,3,4,5,4,4,2,3,3,3,5,3,3,4,2,20,1,1
16389,1,1,5,1,5,5,3,5,2,4,4,5,5,5,3,2,5,3,3,4,5,5,3,0,-1,4,0,4,4,5,4,4,31,1,2
16390,3,5,5,3,3,4,3,4,5,4,4,2,5,5,3,3,5,4,4,5,4,3,2,2,3,4,4,5,4,3,4,4,24,3,1
16391,4,5,5,5,5,5,2,5,4,-2,1,2,3,4,-1,1,5,1,5,5,4,1,4,3,-2,3,4,3,2,3,4,5,33,2,1
16392,3,3,3,1,5,3,2,3,3,5,2,3,4,5,2,3,5,5,3,5,5,3,2,4,0,5,3,4,5,5,3,5,31,1,2
16393,-1,2,2,5,4,0,0,1,-1,3,2,1,1,5,-2,2,3,0,1,1,3,2,1,1,-2,2,3,4,0,1,3,1,21,2,1
16394,2,5,5,3,5,4,4,4,0,2,1,0,0,4,0,2,4,2,0,4,1,1,1,2,1,2,4,3,4,3,4,3,25,2,1
16395,3,3,5,5,4,4,3,5,1,3,1,3,-1,3,0,1,3,1,2,3,4,2,1,2,-1,3,0,3,3,1,5,1,19,2,2
16396,0,0,1,1,1,1,1,0,0,0,2,3,4,5,0,1,2,1,0,3,5,1,0,1,0,3,-2,4,0,2,0,1,20,1,2
16397,0,1,3,1,3,4,3,1,5,5,5,5,4,5,4,2,1,2,3,0,3,3,2,4,3,3,3,2,2,1,3,1,39,1,2
