,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize
18,4.0,4.0,2.0,1.0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,3,5,0,4,4,1,5,1,6,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,1,1,1,36,1,1,3,60,1,1,0
19,3.0,2.0,4.0,5.0,1.0,5.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,5.0,1.0,7,6,7,5,6,1,5,1,5,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,2,1,1,50,1,1,1,60,1,2,3
20,4.0,4.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,5.0,3.0,4,5,5,5,5,3,2,2,3,3,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,4,3,1,1,28,1,1,1,10,2,1,2
21,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,5.0,2.0,3.0,3.0,2.0,1.0,4.0,5.0,4.0,2,2,6,1,7,5,3,3,7,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,3,1,1,1,26,2,2,1,60,1,3,3
22,3.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,2,5,6,6,7,7,6,2,3,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,3,1,1,1,43,1,12,1,60,1,3,1
23,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,5,5,7,6,7,3,7,1,1,4,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,3,3,1,1,48,1,6,1,60,1,2,2
24,5.0,5.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0,1.0,1.0,3.0,5.0,1.0,4.0,1.0,1.0,5.0,3.0,5.0,1,4,4,6,4,7,1,3,2,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,3,3,2,1,33,1,12,2,70,1,2,2
25,3.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1,1,4,2,7,7,6,2,6,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,40,1,3,1,70,2,1,2
26,5.0,2.0,3.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,3.0,1,5,6,1,7,7,3,5,7,3,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,3,1,2,2,20,1,4,1,10,2,1,4
27,5.0,5.0,2.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5,5,7,5,7,7,6,5,5,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,1,2,33,2,4,1,10,1,1,3
28,5.0,5.0,3.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,2.0,5.0,3.0,1.0,5.0,2.0,1.0,5.0,5.0,2.0,3,1,4,5,7,3,7,2,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,3,2,2,1,34,2,6,1,60,1,1,1
29,1.0,5.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,1.0,4.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,7,5,6,5,7,6,7,1,6,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,3,2,0,2,40,2,0,0,0,0,0,0
30,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,1.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5,5,3,4,7,2,7,5,3,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,4,3,1,1,38,1,4,2,60,1,1,2
31,5.0,4.0,1.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,3.0,3.0,4.0,5.0,6,4,7,1,7,1,5,2,6,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,3,3,2,2,23,2,4,1,60,2,1,2
32,4.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,5,7,6,3,7,5,6,3,6,4,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,3,0,1,1,32,1,1,1,70,1,2,5
33,1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,6,5,7,6,6,6,1,1,5,6,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,3,2,1,21,1,6,1,10,2,1,2
34,4.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,1.0,4.0,2.0,2.0,5.0,4.0,1.0,3,6,2,3,6,2,7,6,2,7,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,2,20,1,2,1,10,2,1,5
35,5.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,7,5,6,6,7,1,2,5,3,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,1,2,21,1,4,3,10,1,1,3
36,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,3.0,1.0,5.0,2.0,5.0,1.0,1,3,5,7,7,7,1,1,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,24,1,2,1,60,2,1,3
37,1.0,1.0,3.0,1.0,5.0,4.0,3.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0,3,7,6,5,7,4,6,6,5,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,4,3,1,1,29,1,1,1,70,1,1,4
38,4.0,3.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,3.0,2.0,5,5,7,3,7,1,6,1,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,3,2,1,26,1,12,1,60,1,1,4
39,5.0,5.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,1.0,2,6,2,5,6,4,3,5,2,5,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,2,2,1,1,22,1,2,1,60,1,1,1
40,5.0,2.0,5.0,1.0,5.0,4.0,1.0,5.0,2.0,1.0,5.0,4.0,4.0,1.0,5.0,3.0,4.0,1.0,5.0,4.0,5,6,3,6,3,5,3,2,6,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,3,3,1,1,33,1,8,5,70,2,2,3
41,4.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,2.0,2.0,5.0,2.0,5.0,3.0,5.0,4.0,3.0,4.0,1.0,4,6,3,5,6,6,6,4,6,6,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,1,2,22,1,2,1,70,1,1,2
42,5.0,4.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,5.0,1.0,4.0,3.0,1.0,5.0,5.0,4.0,6,7,6,5,7,2,5,2,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,3,1,2,34,1,2,2,60,2,1,1
43,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4,3,5,2,6,5,5,1,7,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,3,1,2,31,3,4,1,10,1,2,5
44,2.0,1.0,2.0,2.0,5.0,5.0,2.0,3.0,5.0,5.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,5.0,5.0,3.0,6,5,3,5,7,6,6,4,6,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,3,1,1,2,35,1,4,2,60,2,1,0
45,3.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,0,5,1,6,5,7,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,25,1,10,1,20,2,1,3
